,code
1230,600702
1231,600701
1232,600699
1233,600698
1234,600697
1235,600696
1236,600695
1237,600694
1238,600693
1239,600692
1240,600691
1241,600690
1242,600689
1243,600688
1244,600687
1245,600686
1246,600685
1247,600684
1248,600683
1249,600682
1250,600681
1251,600679
1252,600678
1253,600677
1254,600676
1255,600675
1256,600674
1257,600673
1258,600671
1259,600668
1260,600667
1261,600666
1262,600665
1263,600664
1264,600663
1265,600662
1266,600661
1267,600660
1268,600658
1269,600657
1270,600655
1271,600654
1272,600653
1273,600652
1274,600651
1275,600650
1276,600649
1277,600648
1278,600647
1279,600645
1280,600644
1281,600643
1282,600642
1283,600641
1284,600640
1285,600639
1286,600638
1287,600637
1288,600636
1289,600635
1290,600634
1291,600633
1292,600630
1293,600629
1294,600628
1295,600626
1296,600624
1297,600623
1298,600622
1299,600621
1300,600620
1301,600619
1302,600618
1303,600617
1304,600616
1305,600615
1306,600614
1307,600613
1308,600612
1309,600611
1310,600610
1311,600609
1312,600608
1313,600606
1314,600605
1315,600604
1316,600603
1317,600602
1318,600601
1319,600600
1320,600599
1321,600598
1322,600597
1323,600596
1324,600595
1325,600594
1326,600593
1327,600592
1328,600590
1329,600589
1330,600588
1331,600587
1332,600586
1333,600585
1334,600584
1335,600583
1336,600582
1337,600581
1338,600580
1339,600579
1340,600578
1341,600577
1342,600576
1343,600575
1344,600573
1345,600572
1346,600571
1347,600570
1348,600569
1349,600568
1350,600567
1351,600566
1352,600565
1353,600563
1354,600562
1355,600561
1356,600560
1357,600559
1358,600558
1359,600557
1360,600556
1361,600555
1362,600552
1363,600551
1364,600550
1365,600549
1366,600548
1367,600547
1368,600546
1369,600545
1370,600543
1371,600540
1372,600539
1373,600538
1374,600537
1375,600536
1376,600535
1377,600533
1378,600532
1379,600531
1380,600530
1381,600529
1382,600528
1383,600527
1384,600526
1385,600525
1386,600523
1387,600522
1388,600521
1389,600520
1390,600519
1391,600518
1392,600517
1393,600516
1394,600515
1395,600513
1396,600512
1397,600511
1398,600510
1399,600509
1400,600508
1401,600507
1402,600506
1403,600505
1404,600503
1405,600502
1406,600501
1407,600500
1408,600499
1409,600498
1410,600497
1411,600496
1412,600495
1413,600493
1414,600491
1415,600490
1416,600489
1417,600488
1418,600487
1419,600486
1420,600485
1421,600483
1422,600482
1423,600481
1424,600480
1425,600479
1426,600478
1427,600477
1428,600476
1429,600475
1430,600470
1431,600469
1432,600468
1433,600467
1434,600466
1435,600463
1436,600462
1437,600461
1438,600460
1439,600459
1440,600458
1441,600456
1442,600455
1443,600452
1444,600449
1445,600448
1446,600446
1447,600444
1448,600439
1449,600438
1450,600436
1451,600435
1452,600433
1453,600429
1454,600428
1455,600426
1456,600425
1457,600423
1458,600422
1459,600421
1460,600420
1461,600419
1462,600418
1463,600416
1464,600415
1465,600410
1466,600409
1467,600408
1468,600406
1469,600405
1470,600403
1471,600400
1472,600399
1473,600398
1474,600397
1475,600396
1476,600395
1477,600393
1478,600392
1479,600391
1480,600390
1481,600389
1482,600388
1483,600387
1484,600386
1485,600385
1486,600383
1487,600382
1488,600381
1489,600380
1490,600379
1491,600378
1492,600377
1493,600376
1494,600375
1495,600373
1496,600372
1497,600371
1498,600370
1499,600369
1500,600368
1501,600367
1502,600366
1503,600365
1504,600363
1505,600362
1506,600361
1507,600360
1508,600359
1509,600358
1510,600356
1511,600355
1512,600354
1513,600353
1514,600352
1515,600351
1516,600350
1517,600348
1518,600346
1519,600345
1520,600343
1521,600340
1522,600339
1523,600338
1524,600337
1525,600336
